"city", "lat", "lng", 
"Hoover", "33.3754", "-86.8064", 
"Lake Forest", "33.6606", "-117.6712", 
"Napa", "38.2976", "-122.3011", 
"Whittier", "33.9678", "-118.0188", 
"Clifton", "40.8631", "-74.1575", 
"Largo", "27.9088", "-82.7711", 
"Bloomington", "44.8306", "-93.3151", 
"Johns Creek", "34.0333", "-84.2027", 
"Newport Beach", "33.6151", "-117.8669", 
"Mission", "26.2041", "-98.3251", 
"Milpitas", "37.4339", "-121.8921", 
"Troy", "42.5818", "-83.1457", 
"Madera", "36.9631", "-120.0782", 
"Joplin", "37.0758", "-94.5018", 
"Chino Hills", "33.9508", "-117.7253", 
"Alhambra", "34.0840", "-118.1355", 
"Franklin", "35.9216", "-86.8525", 
"Melbourne", "28.1085", "-80.6627", 
"Port Huron", "42.9822", "-82.4387", 
"Springfield", "39.9297", "-83.7957", 
"Mountain View", "37.4000", "-122.0796", 
"Zephyrhills", "28.2408", "-82.1796", 
"St. Augustine", "29.8977", "-81.3100", 
"Flagstaff", "35.1872", "-111.6195", 
"Buena Park", "33.8572", "-118.0046", 
"Pleasanton", "37.6663", "-121.8805", 
"Silver Spring", "39.0028", "-77.0207", 
"Atascocita", "29.9777", "-95.1953", 
"Westland", "42.3192", "-83.3805", 
"Auburn", "47.3039", "-122.2108", 
"Cranston", "41.7658", "-71.4857", 
"Somerville", "42.3908", "-71.1013", 
"Folsom", "38.6668", "-121.1422", 
"Springdale", "36.1899", "-94.1574", 
"Deerfield Beach", "26.3050", "-80.1277", 
"Warwick", "41.7062", "-71.4334", 
"Cicero", "41.8445", "-87.7593", 
"Farmington Hills", "42.4860", "-83.3771", 
"Newark", "40.0705", "-82.4251", 
"Williamsburg", "37.2692", "-76.7076", 
"Brooklyn Park", "45.1112", "-93.3505", 
"Hattiesburg", "31.3074", "-89.3170", 
"Alexandria", "31.2923", "-92.4702", 
"Lawrence", "42.7003", "-71.1626", 
"Florence", "34.8303", "-87.6654", 
"Valdosta", "30.8502", "-83.2788", 
"Plymouth", "45.0225", "-93.4618", 
"Buckeye", "33.4314", "-112.6429", 
"Georgetown", "30.6668", "-97.6953", 
"Cheyenne", "41.1351", "-104.7900", 
"Cedar Park", "30.5106", "-97.8196", 
"The Villages", "28.9021", "-81.9888", 
"Kokomo", "40.4640", "-86.1277", 
"Tustin", "33.7309", "-117.8106", 
"Lakewood", "33.8471", "-118.1221", 
"Perris", "33.7899", "-117.2233", 
"St. Joseph", "39.7599", "-94.8210", 
"Flower Mound", "33.0344", "-97.1146", 
"Pharr", "26.1685", "-98.1904", 
"Pine Hills", "28.5818", "-81.4693", 
"Alton", "38.9034", "-90.1523", 
"Loveland", "40.4166", "-105.0623", 
"Boynton Beach", "26.5281", "-80.0811", 
"New Rochelle", "40.9305", "-73.7836", 
"Anderson", "34.5211", "-82.6479", 
"Jonesboro", "35.8212", "-90.6791", 
"Lebanon", "40.3412", "-76.4227", 
"Parma", "41.3843", "-81.7286", 
"Layton", "41.0769", "-111.9621", 
"Elizabethtown", "37.7030", "-85.8770", 
"Texarkana", "33.4487", "-94.0815", 
"Alameda", "37.7670", "-122.2672", 
"Kankakee", "41.1019", "-87.8643", 
"Watsonville", "36.9206", "-121.7706", 
"Porterville", "36.0644", "-119.0338", 
"Baytown", "29.7586", "-94.9669", 
"Upland", "34.1178", "-117.6603", 
"Davis", "38.5552", "-121.7365", 
"Camarillo", "34.2230", "-119.0322", 
"South Jordan", "40.5570", "-111.9782", 
