city,lat,lon,pm25_2021_05_08,pm25_2021_05_09,pm25_2021_05_10,pm25_2021_05_11,pm25_2021_05_12,pm25_2021_05_13,pm25_2021_05_14,pm25_2021_05_15,pm25_2021_05_16,pm25_2021_05_17,pm25_2021_05_18,pm25_2021_05_19,pm25_2021_05_20,pm25_2021_05_21,pm25_2021_05_22,pm25_2021_05_23,pm25_2021_05_24,pm25_2021_05_25,pm25_2021_05_26,pm25_2021_05_27,pm25_2021_05_28,pm25_2021_05_29,pm25_2021_05_30,pm25_2021_05_31,pm25_2021_06_01,pm25_2021_06_02,pm25_2021_06_03,pm25_2021_06_04,pm25_2021_06_05,pm25_2021_06_06,pm25_2021_06_07
FortCollins,40.5478,-105.0656,0.19667,3.17542,1.1,0.51333,1.46083,8.7475,5.75,2.15583,1.40875,1.37333,1.43708,1.97042,5.80458,6.12292,4.82458,4.42917,2.16667,3.26042,2.89917,6.04583,6.06333,3.31167,2.88083,0.68917,1.62667,1.88042,2.91375,5.98,7.13958,7.45792,3.185,4.94667
Asheville,35.5704,-82.5536,0.15208,4.07292,3.96208,2.62792,3.95042,4.675,3.93833,7.45958,6.56583,8.82667,9.97458,10.215,6.7475,4.0625,6.93917,10.61,9.19167,10.77583,11.60958,10.55167,4.43625,2.79792,1.77,2.04417,6.08375,7.04542,4.72958,1.96542,2.29958,4.56375,4.54417,1.93458
SantaClarita,34.4175,-118.4964,0.30917,13.09375,16.15792,15.53583,16.74083,16.19042,13.78125,13.79458,7.42083,3.00667,6.13583,9.24667,16.06292,8.1925,1.72667,6.84792,4.84,4.92,8.96875,21.41708,28.46958,17.58458,16.36708,20.06042,22.61667,17.60833,15.80333,19.52375,15.3575,12.08583,7.67625,5.45208
St.Paul,44.9477,-93.1040,0.18917,3.41125,2.19292,1.28875,4.72208,6.84833,3.33917,4.55417,4.85167,4.69375,5.555,8.88833,2.69208,2.58792,2.52375,1.79833,5.00333,2.015,2.70333,0.88583,0.74625,3.22042,3.76292,2.87125,4.51792,8.41125,5.10583,3.53917,4.31875,5.34917,3.21583,2.67542
Antioch,37.9789,-121.7958,0.12542,1.43375,1.61042,2.26667,5.94375,7.58625,5.33583,4.64958,4.95542,5.54625,2.91,2.13,2.23417,0.88917,1.49625,3.51333,4.38208,4.26917,2.5225,5.36,3.70583,4.59542,5.46542,7.81542,8.61667,7.60208,4.11667,4.11458,3.90125,4.67833,4.91833,3.23042
Lakeland,28.0556,-81.9545,0.15833,4.475,5.22667,4.47333,4.39792,6.61667,5.79292,4.02708,4.46792,3.8675,4.94208,2.42125,2.2425,3.29125,5.14167,4.44917,2.38958,3.44375,4.35458,6.21625,7.27167,11.45583,6.65333,5.5625,4.42458,3.65917,1.42167,2.48,2.79417,2.16,4.66333,5.48292
Trenton,40.2236,-74.7641,0.33417,3.84917,4.18,4.96292,4.42292,1.85792,4.20625,7.48375,10.76958,8.83458,9.46167,9.32958,11.9725,12.45833,13.6175,10.72583,4.73625,1.96917,3.52833,15.01333,7.6975,2.54083,1.7775,1.34333,3.925,12.20583,9.29292,3.45958,7.35167,15.645,16.76083,10.59708
Lincoln,40.809,-96.6788,0.15542,2.82292,1.6475,2.61542,3.92542,4.39417,4.23375,3.83208,4.015,4.58917,4.09167,4.37208,2.0075,1.57625,1.05375,1.06042,0.87083,2.02375,0.91375,4.91583,3.01833,1.28292,1.95792,4.0,4.13292,4.02292,3.49167,4.1525,4.44,4.0875,1.22625,1.44208
Springfield,37.1943,-93.2916,0.0975,3.56458,2.62667,1.735,5.52125,2.86,3.58333,4.18958,6.0325,6.8625,3.81167,1.74125,1.60042,1.62333,2.45125,4.40667,6.22583,4.73833,2.52542,3.57792,3.78,2.30667,1.39667,3.59,6.69208,6.10333,8.00583,9.115,6.11083,5.19875,1.98917,1.13958
Anchorage,61.1508,-149.1091,0.02083,0.5,0.5,0.63458,0.50208,0.50083,0.74042,0.57833,0.55792,0.50958,1.50583,3.15458,1.07208,0.50625,0.5,0.79458,1.55,0.86375,1.12833,3.86792,1.78083,0.515,0.5,0.5,0.5,0.56708,0.50083,0.51167,0.75833,2.22417,1.38792,1.02625
Plano,33.0502,-96.7487,0.36833,6.37875,4.31542,2.68875,2.55333,5.02958,5.28167,7.05125,7.60625,6.23583,5.3775,3.1375,2.94417,2.74083,1.95875,3.66333,6.63625,4.64542,2.265,3.66167,5.02667,6.04708,4.4225,4.82,6.82833,5.28208,6.6075,4.63083,9.06708,4.42833,3.82083,4.32875
Irvine,33.6772,-117.7738,0.15917,3.74667,4.98875,4.7275,6.03042,9.64875,7.95542,7.02833,1.96,2.63333,2.89458,3.67958,6.08375,3.83792,4.01125,3.46042,6.01417,16.50833,7.75,6.42208,4.17542,4.79792,4.59125,5.13125,6.12417,7.5175,11.83083,4.06208,3.82042,2.475,1.90958,3.49125
Davenport,41.5563,-90.6052,0.05,2.24292,2.63708,3.045,3.95792,5.3775,5.9275,4.65458,5.43708,8.23667,7.77417,8.8125,4.19125,4.86833,3.58625,5.29458,4.0275,7.12875,3.29208,2.55542,3.71292,0.87708,2.19833,7.72083,9.46625,9.79083,13.33833,9.70625,9.00292,7.38417,2.80042,2.11292
Rockford,42.2597,-89.0641,0.07875,3.23,2.38625,3.73208,2.53292,5.17458,5.33625,5.69333,7.13875,8.57917,11.86042,11.34667,4.96167,5.22917,3.97208,6.77958,2.34417,6.82042,3.33333,2.19458,1.11333,0.845,1.75833,6.15917,9.36042,8.10458,14.11458,10.54833,6.80583,7.58875,3.37792,2.93333
Newark,40.7245,-74.1725,0.71625,10.05125,4.48208,3.58,2.40375,2.00333,5.07667,8.15125,22.01917,14.93667,11.70375,10.57292,15.32708,28.41208,13.58708,12.18542,4.40792,2.35042,4.92083,15.19708,4.91042,3.00042,1.4075,1.35875,3.52,12.33292,13.51708,10.25083,4.47625,12.00917,16.09292,17.94
SouthBend,41.6767,-86.2696,0.02833,1.05458,1.54958,3.53708,1.05792,1.89208,5.33125,9.75167,8.80917,8.8025,8.07292,9.02875,7.15625,5.96083,5.90167,8.37,6.80083,7.01542,6.18125,4.2575,4.40167,1.81958,1.85542,3.81458,6.29917,9.7675,8.0425,9.97292,8.66542,8.24083,6.49333,3.68083
Shreveport,32.4656,-93.7956,0.24917,6.54167,4.46625,2.98667,3.66167,4.53708,4.54833,6.965,7.12917,6.95958,4.28292,2.6475,2.6,1.87458,3.1575,6.30792,6.43625,4.37167,3.45167,3.93333,3.97833,3.71042,4.03125,4.75583,8.47708,6.64583,4.09708,4.26375,6.25958,2.39042,2.56167,4.1425
RoundLakeBeach,42.379,-88.0811,0.05792,2.12,2.085,1.17958,2.20333,3.19917,13.0175,9.28042,8.20625,11.92958,15.27708,12.51708,7.07125,6.03208,5.56333,8.545,2.71458,8.04708,3.7325,2.18375,0.9625,0.97125,1.26208,3.7025,11.32167,13.87958,17.0225,11.73,6.12667,7.46,3.895,3.73667
Savannah,32.0281,-81.1784,0.13083,4.03542,4.76792,5.965,5.2775,3.65208,4.06958,4.705,5.44,6.31042,6.06667,3.53292,2.73542,3.21083,5.64417,3.51792,3.2325,4.15375,5.66458,8.76542,9.35167,10.77083,4.11708,2.87333,2.84208,4.08958,2.28083,2.81792,5.805,7.01542,7.17542,7.92917
MyrtleBeach,33.7096,-78.8843,0.0725,2.63,5.27125,7.4425,4.3725,3.62917,3.29583,3.75167,4.42167,5.83083,3.44708,2.41792,2.41917,3.12875,4.9075,4.69917,6.35333,8.37333,11.93625,9.025,10.57292,11.51167,8.08292,2.10167,2.42625,3.55792,2.14208,3.02125,2.45708,3.83333,4.78,7.56875
ChulaVista,32.6281,-117.0145,0.15958,4.29792,6.26083,7.28083,12.17667,8.53958,8.14333,6.16792,2.60083,2.19042,2.90542,3.63292,7.28792,3.94667,3.72417,3.6775,6.8525,9.82125,15.62917,6.48,4.91667,5.74083,4.43583,5.34208,7.03292,11.54083,8.98417,8.45875,9.0125,5.80333,2.38625,3.58167
Eugene,44.0563,-123.1173,0.04292,1.05,1.255,2.38583,3.08583,3.69542,1.96833,2.64917,2.94458,3.4675,0.65333,1.02708,0.975,0.995,2.0625,1.92875,1.13542,0.72125,1.25542,2.84208,1.40417,3.0325,3.80625,4.97833,4.63833,8.42875,1.58333,1.19917,1.25708,2.00333,2.66333,2.73125
Canton,40.8075,-81.3677,0.10625,2.44667,2.74958,4.57583,3.45333,2.765,4.805,10.51875,7.03958,9.07958,15.12125,17.19292,13.53167,10.72458,8.78583,9.09708,7.20792,6.64667,9.72958,10.48375,4.55625,3.58042,0.87708,3.57583,8.02833,9.63375,12.89417,4.41792,9.47958,12.94583,8.01792,5.96667
Lubbock,33.5659,-101.8878,0.16833,3.89083,3.12833,2.28458,1.17042,2.23542,3.0975,3.8,2.71375,0.96375,0.78833,1.265,1.58792,2.675,4.69917,2.17875,0.67083,0.59125,2.40292,2.8975,3.39875,1.35875,1.28458,1.54,0.71542,1.34625,2.31125,2.43542,1.46333,1.39958,4.78375,9.71792
Reading,40.34,-75.9267,0.215,2.26208,3.37792,3.19875,2.60875,1.54458,1.92625,3.55125,6.63833,9.45875,7.94958,11.20792,11.48042,14.44875,10.48125,12.93,5.68375,2.38542,4.64208,10.91417,5.50625,2.43625,1.235,0.75125,3.18042,8.69,8.31333,3.61292,4.195,10.95167,13.20208,10.76875
WinterHaven,28.0118,-81.7017,0.16292,5.05167,4.94167,4.38792,3.5125,6.75,5.67375,4.20708,4.49542,3.82292,4.66125,2.38333,2.275,3.31208,5.3425,4.58708,2.31125,3.17458,4.32583,5.86917,6.26292,9.90125,6.53917,4.21083,4.34542,3.41375,1.53667,2.03125,3.01083,2.69208,4.92042,5.57875
Salem,44.9231,-123.0246,0.04958,1.36417,1.59417,2.39083,2.96042,3.36917,2.27,2.63833,3.14042,3.51833,0.86,1.08417,1.22375,1.375,2.84958,2.45208,1.18667,0.91667,0.99875,2.64583,2.07208,2.6475,3.87625,5.02833,4.88125,6.71667,3.04792,1.22667,0.94,2.25167,2.99708,2.14917
St.Petersburg,27.7931,-82.6652,0.18083,3.53792,5.30208,4.66625,6.0975,7.245,6.24958,4.75875,4.41042,3.97375,4.205,2.40375,3.94417,3.27625,5.16875,4.35667,3.4875,5.57417,6.20167,7.31208,12.67625,12.22958,6.36167,5.32458,4.9375,3.82167,2.54042,3.13875,2.70208,2.30208,4.70083,6.4425
Lafayette,30.2084,-92.0323,0.27167,8.45292,6.98458,8.77792,11.6325,5.23583,4.69542,6.31958,8.0375,6.27375,4.95667,2.48,2.46208,2.54208,5.20917,6.16167,4.74625,4.99625,4.09167,5.1575,5.10917,4.65625,4.08292,5.17542,8.43083,7.80167,5.53667,4.46167,3.84667,2.31917,2.77417,8.845
Laredo,27.5629,-99.4875,0.27708,4.905,6.34875,5.79375,6.47292,1.90083,3.9975,4.2,5.5775,2.52708,5.69667,7.99083,3.24167,3.425,3.08875,3.16792,2.42917,2.6475,3.93625,6.52167,4.93958,4.185,5.36667,2.60958,4.03417,4.73458,5.75125,5.48833,3.55125,5.65708,7.03667,7.80833
JerseyCity,40.7161,-74.0682,0.58042,9.11167,5.09417,4.39917,3.5,4.74667,9.07375,15.33958,27.87125,23.96042,17.48958,16.66625,16.2725,27.94042,16.075,14.13333,4.835,2.82375,5.35167,17.64208,5.83708,2.9575,1.51958,1.52583,11.03292,16.05625,15.39917,10.35333,6.85167,14.62708,21.26583,17.94
Concord,35.3933,-80.6366,0.08875,2.45917,3.315,4.74583,4.26958,3.11083,2.36208,5.26333,7.12958,7.65167,8.74375,7.86833,4.47292,5.18208,7.57083,8.01542,10.2475,8.44417,13.20958,13.00458,7.1575,5.39542,2.32458,1.0225,4.71125,5.36167,3.13625,1.83333,2.55167,4.27458,4.15208,3.68792
Columbus,32.51,-84.8771,0.12333,3.965,6.15083,4.96375,3.10542,3.37583,2.91958,3.85292,6.07125,6.95125,5.83333,2.07042,1.97417,2.93667,5.65542,4.3775,5.23542,11.40083,11.11375,6.49208,6.40667,4.1725,2.49667,4.06917,5.02083,5.46625,5.50917,4.47625,3.95292,3.35125,2.22042,2.37125
Chandler,33.2826,-111.8516,0.25833,4.725,4.53625,4.64083,5.77292,6.33208,6.74625,5.1625,4.44083,4.845,5.64625,7.59542,7.27208,5.43167,4.10458,5.48333,5.15833,5.31333,4.83292,6.9825,5.98125,6.25875,3.46458,3.79,4.34042,3.86833,3.87083,3.98,5.52125,5.61833,5.8325,5.625
McKinney,33.2015,-96.6669,0.385,6.50917,4.17833,2.37833,2.28833,4.9025,4.41542,5.77333,7.34042,5.28458,4.03542,2.845,1.02083,1.50375,1.74292,3.81125,5.3675,3.3875,2.27833,3.79875,5.22958,4.03417,3.93125,4.77292,5.87667,3.64125,4.03083,2.90833,6.98208,3.05,4.09,3.75917
Scottsdale,33.6872,-111.8651,0.25167,5.91875,5.79708,4.69542,7.18333,10.35333,8.88958,9.38792,4.84542,5.75708,6.34917,9.30083,9.525,6.24958,4.59125,6.155,2.89208,3.96125,5.955,7.61583,8.8325,8.44458,4.96625,5.48333,10.23625,5.24917,4.74042,5.49083,6.0075,7.82708,5.94,5.97958
Killeen,31.0754,-97.7296,0.20208,4.71167,7.14583,4.1325,1.73458,3.16625,6.12458,6.41625,5.55333,2.81542,4.12125,4.98375,1.90917,3.46583,4.34625,2.15708,4.57833,1.56625,1.6425,3.70875,4.13917,3.14792,2.96208,3.91542,7.58,4.50708,4.36833,3.455,3.23417,2.81625,2.62208,3.78167
Tallahassee,30.4551,-84.2526,0.125,3.75583,6.87292,8.4225,4.65667,3.73458,2.69417,4.76667,3.85042,4.92958,5.80042,2.11833,2.06375,3.13167,4.46667,3.76292,2.66958,3.22958,6.86542,10.04583,6.36917,5.3675,3.57458,3.09208,5.62208,6.46458,5.365,2.92833,4.60542,2.69333,3.9925,4.06125
Peoria,40.752,-89.6153,0.0325,2.44583,2.04958,3.40792,2.71875,3.40458,5.69792,8.25583,7.87083,8.92833,8.685,9.60792,4.36833,5.68125,5.13542,7.44958,5.85583,9.26583,3.42792,2.92875,4.79792,1.8125,3.14208,8.85542,9.74667,13.30125,12.08708,11.07125,9.19208,7.74542,4.83167,3.53708
Wilmington,34.21,-77.8866,0.20875,3.31208,5.45917,8.38125,4.92083,3.64625,3.02208,3.75417,3.67417,3.64292,2.69417,2.12208,2.31958,3.94583,4.71083,4.83583,7.61083,11.21667,20.38167,8.86667,11.96333,11.41458,8.085,1.655,2.31083,3.38458,2.93542,4.51625,2.20458,2.38375,4.44542,6.06125
Montgomery,32.3473,-86.2666,0.28667,5.26208,4.73292,5.12083,5.3275,3.72542,3.40833,5.40333,5.71292,7.00583,6.69625,2.65458,1.4325,2.6825,4.23833,5.14333,5.05292,11.78042,10.3825,6.80833,5.23583,4.42583,3.29583,3.645,4.82917,5.90375,6.37625,7.78333,4.64458,4.05125,3.16375,2.23167
Gilbert,33.3101,-111.7463,0.27875,5.83833,5.56083,4.77792,7.06167,10.73375,8.92833,7.75208,4.55292,5.2075,6.15292,8.85708,9.02875,5.85042,4.50542,6.66583,4.73083,6.87167,6.54,8.84,8.46833,7.8175,4.46875,4.91042,7.15583,4.9,4.45333,5.22292,6.095,6.94542,5.80542,5.74042
Glendale,33.5791,-112.2311,0.28708,5.72292,6.46875,5.42542,9.70375,7.66458,9.39125,16.67875,6.03917,6.63625,7.185,7.89875,8.38667,6.55583,3.96375,6.71083,4.12833,5.31333,7.82917,9.23958,11.75375,7.62292,5.2,9.54583,6.39708,4.84542,4.35875,4.86167,5.695,8.0125,8.03208,6.18958
NorthLasVegas,36.288,-115.0901,0.32875,6.85333,4.44458,4.59875,2.32292,3.88875,7.31875,10.96958,11.6625,8.83625,5.24667,3.53875,12.75125,14.96417,9.31292,4.18958,3.48,3.19583,7.41583,4.76125,7.48792,8.14,9.03792,7.72958,5.72167,10.58458,12.69292,11.00333,10.62125,10.76042,11.5825,9.70375
Chesapeake,36.6778,-76.3024,0.18625,3.03292,3.80042,6.40917,4.57458,2.93083,6.08583,8.115,4.62042,5.04333,4.04167,2.92458,3.92875,6.51458,4.17833,4.065,7.72583,9.25208,4.67125,12.96,10.70042,11.48542,7.87375,0.97167,2.54917,3.48042,3.70375,2.06333,0.93083,4.10958,4.885,3.71375
Barnstable,41.6722,-70.3599,0.14125,1.59167,5.76875,4.24458,4.05875,1.83458,6.85833,17.79625,16.51875,22.41958,32.47708,23.1375,5.40292,4.8525,2.49083,6.25625,8.38125,0.88833,1.73417,9.065,16.50625,1.05375,0.99208,1.59292,2.65875,17.41,11.795,4.73792,2.9825,16.95083,22.82792,7.33417
Norfolk,36.8945,-76.2590,0.20792,3.43375,4.77417,6.40375,4.35333,3.64125,8.94667,12.11667,6.19625,5.91958,4.76,3.54708,6.20167,6.8475,4.61917,6.02542,9.74333,8.96042,4.46167,12.93833,12.25625,12.86708,7.95833,1.07208,3.52458,4.24833,4.33042,2.01542,0.99917,4.37625,5.39792,3.91417
Fremont,37.5265,-121.9852,0.2325,6.34542,5.1675,9.1675,12.02708,10.58625,6.45792,4.51208,4.45875,5.6225,2.98,3.22125,6.49708,3.75583,3.625,6.63583,3.63625,4.93625,3.1625,6.215,3.48625,4.505,5.49958,8.2475,10.4925,8.67583,3.53958,2.61833,3.53,3.64417,5.45125,5.40792
Kennewick,46.1978,-119.1732,0.02083,0.5,0.815,1.7625,3.35917,5.145,2.13625,3.46292,3.35875,3.28708,2.73083,0.5,0.50375,0.54917,0.50167,0.50833,1.15542,0.55708,0.51958,1.44208,2.41333,1.03,1.75333,2.22792,3.29708,3.95458,3.71125,5.30125,1.53333,0.72625,0.95292,0.61958
Garland,32.91,-96.6305,0.42417,6.37625,4.43583,2.49875,2.45708,4.89792,4.44458,5.93083,7.23375,5.61333,4.33833,2.79167,1.65208,1.76458,1.55292,3.79833,5.78958,3.79375,2.2025,3.88833,5.22917,4.12958,3.9675,4.38917,5.69417,4.3275,6.20708,3.4925,7.55,3.04417,4.62125,4.58667
Irving,32.8584,-96.9702,0.47708,5.97875,4.45083,2.8825,2.89375,5.01042,6.205,6.51708,7.31667,5.80917,4.94667,3.01125,3.33667,3.57583,2.18417,3.29125,6.01333,3.85833,1.715,2.885,4.10958,6.10833,5.32667,5.19917,6.28875,5.83958,6.62542,5.15208,9.96875,6.4575,3.40417,4.64958
Visalia,36.3276,-119.3269,0.26583,5.89792,4.82167,4.92708,6.3925,7.28542,8.94958,9.58583,3.65167,5.68375,8.09083,4.73542,2.43125,2.36333,2.13917,3.17667,3.67625,6.19417,3.79583,5.0775,5.8325,5.69083,6.26917,8.1325,10.66708,8.66333,8.35833,8.63083,7.94333,3.89042,3.8325,3.73375
AtlanticCity,39.3797,-74.4527,0.36125,4.54458,4.71792,13.7875,7.72667,3.83333,9.49292,11.69625,10.97042,5.21833,8.17583,5.02542,13.03292,11.96833,4.48375,11.46958,7.14917,2.87625,2.85083,11.92708,14.7875,5.65458,1.36833,1.10542,4.20083,9.47958,8.71958,2.86167,1.59708,9.95875,9.96875,5.82375
Paradise,36.0807,-115.1369,0.35292,6.6075,4.43917,5.64167,4.36083,5.12167,7.88708,11.96708,11.82958,8.06917,4.66375,3.33792,13.465,13.74,7.725,2.96667,2.48667,4.11667,4.21625,4.20125,8.4125,7.28125,9.67667,10.81083,6.81125,9.92125,11.175,10.58958,11.62625,11.25667,11.79958,9.29583
Nashua,42.7491,-71.4910,0.29583,2.21625,1.45542,2.06292,1.00583,0.74417,1.17792,1.5575,2.98875,3.80625,3.57292,4.03292,3.68625,6.94333,7.35833,14.17458,1.69958,2.11333,6.94417,11.6675,3.47875,1.85583,0.69042,0.86292,1.015,6.25792,9.54958,6.47875,2.72125,6.51667,10.14208,13.40708
Arlington,38.8786,-77.1011,0.29458,4.28875,4.16375,2.73167,4.84917,3.24542,4.39292,5.7975,7.12125,9.17792,14.0475,5.94042,6.69167,10.10292,6.71125,7.555,8.20625,3.86833,5.09792,12.84292,7.60375,11.715,2.8775,1.65667,7.16875,8.62292,5.62917,2.18875,3.41292,7.89083,7.92958,3.96417
Hialeah,25.8696,-80.3046,0.4025,7.29708,6.20333,4.69708,6.94542,5.97542,6.48375,3.88125,5.35042,4.34917,3.57167,2.98,4.05875,4.42083,4.71583,3.94125,3.25292,3.24542,3.65208,8.15917,9.88958,9.12042,4.93333,3.52375,5.17417,1.83333,2.15,2.7925,5.0975,5.14167,7.26083,7.15958
York,39.9651,-76.7315,0.13458,2.51833,2.50792,2.21917,2.79083,1.48583,2.26167,4.36,4.24417,10.67583,10.35417,8.69208,11.9575,11.48667,9.54167,9.70417,5.77542,2.33417,5.3075,10.3375,5.22417,3.91708,1.59667,1.09625,3.08583,8.41292,7.5475,2.955,3.44917,10.36667,11.305,6.7025
Evansville,37.9881,-87.5341,0.175,2.10708,4.0125,2.46458,5.225,1.38708,2.55917,7.33542,7.84917,8.36333,9.06708,7.86417,5.78333,3.82417,4.93042,10.01125,12.08292,13.06042,8.88708,4.45125,4.70125,4.28917,2.3875,4.46083,8.91958,15.13917,7.58,7.02,12.70917,11.08458,4.84708,1.69167
Avondale,33.3858,-112.3236,0.25958,4.72125,5.01125,4.72167,7.55208,5.71125,7.41333,8.9075,5.63917,5.43792,7.18583,7.44375,7.50292,5.86792,3.92958,6.44083,3.25375,4.83208,4.86125,6.22458,7.34667,6.02708,3.85917,4.9825,4.23458,3.67792,4.00375,4.14292,5.18583,6.06708,6.86667,5.25958
Brownsville,25.998,-97.4565,0.44042,7.4975,9.33917,9.29417,9.5825,5.99042,3.64583,6.20875,6.385,3.96625,8.3625,10.60667,8.30875,4.00917,3.5925,3.66125,3.52375,3.97167,6.20875,7.12667,7.14208,6.78542,7.6425,3.61792,4.86,6.66417,8.23792,8.13417,4.39,4.73625,4.01375,6.26792
Gulfport,30.4271,-89.0703,0.27208,5.67875,7.66458,8.80667,10.925,5.44708,3.64292,6.53917,7.08583,4.99333,6.41042,7.18917,4.42625,4.99667,5.79125,5.85542,4.72917,4.87792,4.49625,5.10542,5.61542,5.045,3.16708,5.71542,7.31792,11.35333,3.935,5.79875,4.72833,4.42792,3.97958,8.35167
Appleton,44.2779,-88.3891,0.07875,0.81292,1.52458,0.61375,0.68042,3.75292,4.83542,4.23875,6.45167,9.255,16.02125,10.74833,5.38417,4.82292,4.05167,3.445,2.52875,3.94917,3.53625,1.25333,0.54167,0.70667,1.7725,3.03,6.34667,8.66375,13.18667,8.53042,3.99875,7.57708,4.39167,1.98458
Bremerton,47.5436,-122.7122,0.14667,2.11583,2.31958,2.88875,3.62292,4.17167,2.09833,4.20458,4.45333,3.705,1.04625,0.7225,0.85125,1.36458,3.93167,4.87708,1.16583,0.96708,0.66708,1.33583,1.60333,2.32167,2.0525,5.09833,2.93,4.11542,5.51833,2.72333,1.18167,1.64958,1.75833,1.15833
Hickory,35.7425,-81.3230,0.10083,2.42875,3.48792,3.1425,3.89625,2.20833,2.53583,3.60333,4.42125,7.3575,10.59,10.33042,5.455,4.92625,8.10583,8.78125,10.15375,8.61375,11.85792,11.6325,4.69667,3.9125,1.50542,1.77,6.21125,7.49708,5.33417,1.75167,1.63333,2.93875,3.15208,2.56583
Tacoma,47.2431,-122.4531,0.04375,1.16958,3.47833,4.02375,5.03625,6.13292,5.05042,6.4525,5.4,7.14708,0.87708,1.15375,2.64958,2.90375,5.93958,5.63042,1.43708,1.30292,1.25292,3.00542,3.00667,2.40083,4.55125,11.27792,10.54958,10.30583,9.66875,1.54333,1.4075,2.27417,2.10042,1.20542
SanBernardino,34.1417,-117.2946,0.685,16.39417,27.17167,20.93875,35.58333,35.2475,26.42583,23.1075,10.27208,2.66542,20.50875,48.785,46.58667,7.0425,6.71667,7.08,18.14625,16.15875,14.88833,10.41875,18.16292,28.31042,16.65667,19.0025,29.00542,24.31417,23.21625,21.04417,15.5425,11.98708,7.82125,5.29542
CollegeStation,30.5852,-96.2960,0.30042,7.5875,7.43042,6.79875,6.92042,3.00292,5.235,6.36333,7.99333,7.7375,7.13417,7.05667,3.56542,3.03,1.6225,4.06125,5.53375,3.98958,4.38542,6.53125,5.54958,4.64708,3.78625,3.63,7.68625,6.62375,5.58917,6.23042,4.96083,3.94083,4.47208,5.41125
Kalamazoo,42.2749,-85.5882,0.03375,1.12708,2.01917,1.74208,0.91458,1.94583,4.52958,9.51833,10.48708,9.25833,10.14458,5.67542,6.63292,6.25833,5.87167,9.44667,6.04042,5.37,5.97833,3.62792,1.59375,0.79583,1.13125,2.95333,5.99958,9.65875,7.91625,10.65333,9.43583,8.00167,5.645,3.17167
ThousandOaks,34.1914,-118.8755,0.255,10.37792,9.26958,7.55292,8.67625,7.55042,6.45042,4.95625,3.26292,3.57083,3.96375,5.0775,8.7275,7.595,3.34917,5.34,5.9425,5.9025,9.15667,16.33625,12.65792,10.66542,10.44375,10.27417,8.95958,10.29708,11.33833,12.71458,10.67042,7.35125,3.96833,5.03417
Roanoke,37.2785,-79.9580,0.09667,1.37042,2.46708,1.9075,4.11167,1.85417,3.48625,3.94583,3.23417,8.3975,10.4825,7.95417,7.5525,7.51792,10.08625,8.83542,9.4875,6.95917,9.52542,11.88917,2.28625,4.06667,1.43792,1.25333,4.13542,9.15375,5.605,1.53167,2.18667,5.53,3.41083,2.9525
Fontana,34.0968,-117.4599,0.27583,15.185,14.60708,10.23917,31.97375,29.39167,24.07625,21.76667,6.43083,2.39333,9.59958,24.54333,18.98417,5.66708,5.34583,5.19667,13.85292,17.49167,15.99708,12.83875,15.57958,18.18625,12.14,18.46,19.52458,22.53333,24.31125,18.84708,14.22458,10.55667,6.89292,6.24958
MorenoValley,33.9244,-117.2045,0.55042,18.13875,26.01333,13.44792,41.20917,41.15583,31.80875,28.71167,11.41375,2.21,14.3,37.02208,28.94875,5.36333,5.70292,5.13208,15.18375,18.43083,13.32792,8.15833,14.87667,24.705,13.37333,19.915,26.76375,28.5625,31.87375,26.14833,14.91042,14.87625,7.1675,3.7825
NorthPort,27.0577,-82.1975,0.14292,5.49917,4.15167,5.27833,4.9425,4.72333,7.78458,4.05458,4.1325,3.42,3.29958,2.51083,2.55083,3.47208,4.44042,3.21958,3.40875,4.22708,4.08958,6.58833,8.0,7.58167,4.51542,4.6425,3.22292,1.67958,2.49167,2.12542,2.99,2.39083,5.00792,5.9975
Fargo,46.8652,-96.8292,0.07958,0.88958,0.8475,0.62083,1.71583,3.7675,2.81667,3.13292,3.31625,3.43667,2.895,3.41292,3.5175,1.26083,2.44708,2.18625,0.87292,2.6425,1.88583,0.5575,0.70458,1.40625,1.245,1.29417,1.015,1.80375,2.21375,2.98375,2.56417,3.90958,3.24542,2.12875
GreenBay,44.515,-87.9896,0.04,0.65583,1.28083,0.51125,0.79792,2.90083,4.06083,4.56958,8.4575,10.85292,13.69833,10.45875,7.00292,9.47417,4.28667,3.03167,2.22167,3.37833,3.38625,0.86833,0.53917,0.63375,1.34417,3.12042,5.05625,7.85958,11.03458,8.08792,4.01417,6.90292,4.69583,2.60542
SpringValley,36.0987,-115.2619,0.35292,6.6075,4.43917,5.64167,4.36083,5.12167,7.88708,11.96708,11.82958,8.06917,4.66375,3.33792,13.465,13.74,7.725,2.96667,2.48667,4.11667,4.21625,4.20125,8.4125,7.28125,9.67667,10.81083,6.81125,9.92125,11.175,10.58958,11.62625,11.25667,11.72083,8.94875
Amarillo,35.1988,-101.8311,0.23542,5.00583,1.99708,1.6225,2.04625,1.57958,3.34708,3.3725,2.00875,0.85458,0.91917,0.82208,1.00667,1.8875,4.475,1.29458,0.7525,0.6,2.22583,2.31833,3.93792,1.95958,1.79625,2.26792,0.81667,1.2075,1.80292,2.28417,1.58208,1.37667,3.15833,5.04458
