city,lat,lon,pm25_2021_05_08,pm25_2021_05_09,pm25_2021_05_10,pm25_2021_05_11,pm25_2021_05_12,pm25_2021_05_13,pm25_2021_05_14,pm25_2021_05_15,pm25_2021_05_16,pm25_2021_05_17,pm25_2021_05_18,pm25_2021_05_19,pm25_2021_05_20,pm25_2021_05_21,pm25_2021_05_22,pm25_2021_05_23,pm25_2021_05_24,pm25_2021_05_25,pm25_2021_05_26,pm25_2021_05_27,pm25_2021_05_28,pm25_2021_05_29,pm25_2021_05_30,pm25_2021_05_31,pm25_2021_06_01,pm25_2021_06_02,pm25_2021_06_03,pm25_2021_06_04,pm25_2021_06_05,pm25_2021_06_06,pm25_2021_06_07
Orlando,28.4772,-81.3369,0.39917,6.51292,5.66333,4.8225,4.56583,7.90125,4.97625,4.7075,4.42333,3.89167,3.69875,2.3175,2.43875,3.17875,4.96792,3.02458,2.61292,3.14583,4.35042,6.19042,5.79958,7.68375,6.46333,4.74125,5.57208,3.95042,1.715,2.34583,4.28417,3.87542,5.96125,5.87667
SanJose,37.3019,-121.8486,0.2775,4.78125,4.8525,6.91958,7.95917,15.02125,13.50708,7.13875,5.98458,6.5275,5.21458,3.91667,3.05,3.21875,3.4075,5.365,4.75667,6.18167,3.13375,10.31375,4.54167,6.81292,7.78667,10.58417,15.16833,13.70375,12.38917,9.21375,4.3675,6.6925,5.64042,2.74542
Cleveland,41.4767,-81.6804,0.32875,4.63167,2.95417,4.95125,3.39375,3.28458,6.955,12.2425,12.58833,13.71,14.58083,22.26208,16.93042,11.74,11.9825,10.10875,9.20417,9.94542,8.93208,8.42042,2.15667,2.40667,1.745,5.95708,11.14667,12.04792,13.63417,5.905,9.44458,14.23958,12.72375,11.59
Pittsburgh,40.4396,-79.9762,0.52917,3.26958,3.93625,3.69333,4.98458,2.5775,5.26792,11.12208,12.32875,21.35167,21.32208,20.28833,16.8625,10.635,8.19,9.70042,8.50417,10.02375,11.59875,9.45792,5.5125,5.13625,1.48167,1.6275,10.25292,15.60083,13.64583,3.895,8.60542,14.6025,9.52708,7.36833
Austin,30.3004,-97.7522,0.22375,6.075,7.79875,5.24958,3.90458,3.05083,6.31208,7.12375,5.56208,3.09167,5.30125,4.67583,2.35708,4.57083,5.10458,2.07417,4.03417,1.96042,2.82583,5.2625,5.21542,4.60042,4.42292,5.41917,6.71542,4.27042,6.85042,4.82458,4.6575,3.62917,3.00667,4.82792
Cincinnati,39.1413,-84.5061,0.05542,1.82917,3.54458,5.49458,3.30958,2.28333,4.65792,10.53958,12.41625,13.125,11.56792,10.95458,9.73333,9.1325,9.86833,11.47958,7.88167,12.04333,14.17333,8.0325,9.505,6.26375,1.45458,4.34042,11.91833,19.38042,10.80292,5.22833,10.40375,15.61708,6.57083,3.01875
KansasCity,39.1239,-94.5541,0.15875,3.42292,1.80708,5.36917,5.59958,4.13917,4.00417,4.10375,4.92625,5.40792,5.33042,3.2075,1.77333,1.60083,1.36042,2.7825,5.48167,6.54958,2.69458,6.44958,3.31333,1.33167,2.29958,5.30292,7.19458,7.15458,10.10417,14.6125,8.4725,5.69417,2.49333,2.34708
Manhattan,40.7834,-73.9662,0.58042,9.11167,5.09417,4.39917,3.5,4.74667,9.07375,15.33958,27.87125,23.96042,17.48958,16.66625,16.2725,27.94042,16.075,14.13333,4.835,2.82375,5.35167,17.64208,5.83708,2.9575,1.51958,1.52583,11.03292,16.05625,15.39917,10.35333,6.85167,14.62708,20.97833,18.43
Indianapolis,39.7771,-86.1458,0.035,1.8825,2.19875,5.89042,1.8075,1.70625,5.47375,10.69625,10.29708,10.80083,10.51667,10.85833,6.84542,6.21042,6.66458,11.04917,8.01167,11.96042,11.53542,7.49917,8.22542,5.10833,2.55,5.20167,7.46875,12.495,10.11,9.16125,12.91042,13.49167,7.59292,4.23208
Columbus,39.9862,-82.9850,0.10583,2.01583,2.4175,4.47083,2.84833,3.59917,5.79583,10.73083,9.95833,11.1675,11.91958,8.25917,10.27917,11.37542,9.82542,10.74708,7.68958,5.44375,12.5825,9.20958,6.89667,7.06083,1.4075,3.61292,12.53917,12.54167,11.47125,5.71167,10.02958,14.46917,7.605,5.14125
Charlotte,35.208,-80.8304,0.09875,3.05417,3.87917,4.79667,5.43667,4.45958,3.29042,5.92958,9.24833,8.49792,9.22,7.55375,5.6375,4.59375,7.51292,7.48708,10.10875,9.73667,13.72375,12.225,7.61833,5.24,2.29375,1.3825,7.52458,7.7575,3.435,1.71458,2.80375,4.56542,4.31583,3.21333
VirginiaBeach,36.7335,-76.0435,0.17375,3.42833,3.70792,5.86125,4.1,2.68917,9.88542,14.44375,5.81833,5.49542,4.2075,3.05667,6.07458,6.80083,3.69042,6.83875,11.35083,8.91458,4.38583,12.88042,14.09458,15.5925,8.68708,1.19875,2.61458,3.93167,4.58708,2.2825,1.18833,4.49792,5.97833,3.71708
Bronx,40.8501,-73.8662,0.40583,10.91792,6.41458,5.11083,5.06208,4.37292,12.56458,19.8375,20.02542,20.76458,23.5625,16.80875,15.78417,19.14417,14.02583,15.37208,5.07167,1.85333,4.95042,15.87833,6.77208,2.19958,1.19083,1.1675,11.82417,23.04625,15.90292,7.58708,9.73292,18.09417,25.44792,23.28667
Milwaukee,43.0642,-87.9673,0.12417,3.24708,1.74583,1.93917,4.47,4.00583,10.99167,7.42708,7.93792,11.59375,19.39417,13.9675,7.37958,7.17667,5.19167,5.64542,3.42833,6.96875,3.76833,2.04,0.67583,0.97833,2.37375,5.69125,9.595,11.44125,17.80417,11.73333,6.12625,7.98625,3.53667,5.33708
Providence,41.823,-71.4187,0.14625,3.04958,4.13792,4.56833,1.84583,3.1925,2.32583,3.72208,7.71792,5.9925,10.6475,10.61875,5.67708,7.30542,4.55667,7.86125,2.78708,1.23083,2.22208,11.035,8.15,1.83375,0.76375,0.98875,1.47583,16.22833,14.24542,5.40542,4.805,21.28625,18.93958,15.2075
Jacksonville,30.3322,-81.6749,0.11292,4.13958,5.415,5.28333,6.20042,5.32333,3.0925,4.71042,4.18083,4.77333,4.21125,2.03875,2.55375,3.74625,5.54667,2.57042,4.13083,3.725,5.61833,7.68708,9.92125,7.97208,5.10833,5.62792,4.18208,5.26375,3.00458,3.45,4.80667,5.23875,6.79542,5.85625
SaltLakeCity,40.7777,-111.9306,0.05208,1.7125,1.99833,0.97833,1.03167,5.37125,6.91667,6.19875,4.37792,4.07625,4.36583,7.62333,6.11333,4.66625,3.97708,6.41333,2.07042,2.17167,5.27583,1.76917,3.9225,5.31833,2.15792,6.37917,5.79,4.0875,3.89083,4.58583,6.43333,6.42542,6.23,10.75458
Nashville,36.1715,-86.7843,0.1325,4.46375,4.18875,5.03125,6.71667,1.81625,3.09625,7.78333,7.48542,9.23875,8.5625,6.08042,5.61333,3.34958,6.44667,13.10875,14.17792,16.87875,14.66875,4.70083,5.44,2.62542,2.21292,4.09375,8.44958,9.98667,5.57667,3.14625,8.75875,5.61333,4.985,1.13708
Richmond,37.5295,-77.4756,0.21625,2.28125,3.99583,3.97875,5.92708,5.1075,5.46458,6.83917,7.14667,7.06,6.11542,5.705,6.95667,8.08125,4.07,7.75208,8.87375,5.6,5.86333,14.06833,7.51375,11.27542,3.0075,1.18958,5.47458,7.20833,4.76417,1.08708,3.07667,5.64917,5.28083,3.66542
Memphis,35.1046,-89.9773,0.18917,4.07167,6.12417,4.28125,6.27958,3.39167,4.76417,6.98583,7.1075,8.38458,7.20917,4.68833,2.38083,1.76,3.85667,9.07542,8.40708,8.19167,4.93125,2.79125,3.96625,2.97,2.37542,5.3325,10.235,12.70625,3.79375,5.34167,10.16625,9.63542,3.30458,2.32125
Raleigh,35.8325,-78.6435,0.20917,3.02458,3.47,6.34375,6.97042,4.22625,3.325,7.65708,7.57125,6.5275,8.87125,3.48458,3.77583,6.04292,4.97125,6.54833,9.12917,9.82875,9.5925,13.11708,6.92458,6.06208,5.305,1.01,4.78792,6.06458,3.45292,1.15208,1.5025,4.915,5.01792,5.1575
NewOrleans,30.0687,-89.9288,0.20542,6.5075,7.675,8.78708,12.48167,7.74958,3.77042,6.00583,7.64042,5.54667,6.77375,5.41667,5.65375,7.1125,7.05292,6.54833,4.48667,5.18375,5.59917,5.84833,5.90125,5.24875,3.77292,7.42542,7.44125,9.28333,10.07417,6.40042,7.01083,3.52,4.0625,9.83042
Louisville,38.1663,-85.6485,0.2,2.50583,3.41375,4.89958,6.01958,2.62958,4.15792,6.22292,7.94917,8.82875,8.70625,8.18708,5.88,3.49333,4.75917,10.98583,13.575,16.75042,15.91042,7.37708,8.24083,5.69875,1.84625,3.86125,7.39542,7.81792,7.75875,5.13625,19.41542,12.7575,5.225,3.09125
OklahomaCity,35.4676,-97.5136,0.51917,6.62083,2.79458,1.54833,2.57,5.56833,5.74083,5.51667,5.54625,5.11833,2.135,2.72542,1.88583,1.45167,1.31208,2.04208,3.54792,2.95167,1.24625,2.04333,3.05875,3.71667,4.335,3.6025,6.03083,5.45167,3.91167,3.36292,4.62125,5.79208,1.55375,1.97875
Bridgeport,41.1918,-73.1953,0.20458,3.68583,5.11083,2.46958,2.21875,1.1075,5.17583,8.18708,18.145,23.01083,15.80042,10.77083,20.37958,11.24833,13.85375,9.74417,3.91542,1.19417,3.1375,15.50375,5.82417,1.85208,1.03333,0.93458,2.42167,22.72458,20.26458,8.08375,11.20958,20.18333,20.2475,20.59542
Buffalo,42.9016,-78.8487,0.33792,8.02042,3.86042,5.63292,1.24208,3.48375,7.37917,8.52458,13.47208,14.83875,12.745,14.905,15.70875,15.72708,18.48625,18.87583,9.22917,3.74417,10.42708,10.49167,2.62042,0.70875,2.35417,4.57583,8.28042,10.87042,11.89333,8.02125,12.05958,13.43417,16.78042,8.83083
FortWorth,32.7811,-97.3473,0.47958,5.18875,4.31875,2.63042,2.4,4.13792,6.89667,7.38,7.05625,5.02167,4.44125,2.92667,2.41,3.99,3.10667,2.93083,4.76583,3.13958,1.50208,2.36417,3.75708,4.83792,5.32042,5.40625,7.15542,4.9725,4.61875,6.01167,9.15958,8.51083,2.66375,3.49875
Hartford,41.7661,-72.6834,0.26542,3.81917,4.46083,4.47875,1.85667,1.28542,3.72708,5.26083,4.08292,6.7625,9.98333,10.67125,7.08875,6.00333,11.54375,8.84833,2.69958,1.13583,4.29625,17.99333,5.60417,2.52625,0.79458,0.76292,2.69875,12.98125,16.4925,6.33667,6.58083,8.81458,15.04917,22.23667
Tucson,32.1545,-110.8782,0.19125,4.19375,4.44333,3.94292,2.62458,4.47792,5.04333,3.99875,2.91208,4.37792,3.11542,7.2,6.69792,5.06042,2.3875,3.8375,3.74625,4.31833,3.98042,5.33125,5.95875,5.70875,3.09167,3.91292,4.43583,5.00792,4.93792,4.6175,4.53167,6.04042,3.74083,3.76
Omaha,41.2627,-96.0522,0.09333,2.04958,1.87542,2.80833,3.06042,3.77417,3.33833,4.28625,4.35958,4.61333,4.15292,5.14583,1.93083,2.03958,1.39167,1.61167,1.65833,2.31042,1.27792,3.95833,3.58125,0.92208,1.97917,5.17167,8.82375,5.34375,7.46,4.29417,4.80083,4.71625,1.42458,1.67958
ElPaso,31.8479,-106.4309,0.43708,12.15292,8.595,6.42,5.97333,19.01875,7.2125,4.4275,5.00833,7.97917,7.47125,5.04917,8.54583,9.58583,5.78667,8.82083,9.81708,7.18458,7.72375,12.03917,7.62,8.64792,9.49875,6.54875,6.07333,6.22,4.76875,4.97958,4.59417,12.9175,23.51042,7.99625
Honolulu,21.3294,-157.8460,0.29333,3.98042,4.90375,4.71708,5.09208,4.00375,3.66458,3.65667,4.4075,4.33792,3.77958,5.15958,4.94958,3.60458,2.63958,2.81333,3.315,6.35375,6.84542,4.11792,3.62958,2.77208,1.98875,4.25917,5.66917,3.84333,2.51458,2.43042,2.67375,3.15875,4.11208,4.59667
McAllen,26.2273,-98.2471,0.47667,6.555,7.57,7.54292,8.4825,4.88083,3.71958,5.95625,5.57417,2.99,7.03375,8.73625,6.64625,5.81833,5.18375,4.59958,4.33292,4.25833,4.97917,7.28375,6.45583,5.22375,8.03833,4.56833,4.57375,6.49542,7.20417,7.04875,6.93375,6.14583,5.31167,5.0325
Albuquerque,35.1053,-106.6464,0.22708,6.45917,7.31542,5.65375,4.92042,3.63458,4.96667,6.15875,3.38292,2.80208,4.13083,3.6,5.4125,4.59667,5.14667,4.66167,4.39417,3.80542,3.27667,4.94792,4.72,4.95917,4.20458,6.57125,1.33792,1.93958,3.51833,2.27667,3.04042,4.71125,6.63042,20.86625
Birmingham,33.5277,-86.7987,0.67417,7.95708,5.64458,5.32708,4.24542,4.18917,4.59667,5.37458,7.60042,7.50458,7.14333,3.79333,1.85792,2.68125,5.72625,7.375,7.86917,13.97375,12.41042,5.20583,3.75833,4.23958,2.66625,3.83,6.84667,7.26625,5.87667,3.35792,8.16833,6.45167,4.01417,1.525
Sarasota,27.3386,-82.5431,0.14542,4.33875,5.05375,4.97875,5.56917,4.82042,8.37208,5.27,4.60875,3.74167,3.7475,2.4075,2.35625,3.29375,5.20417,3.68208,3.66375,4.83625,5.43958,6.54417,10.77875,10.91958,5.51625,4.795,4.2825,3.61125,2.24417,2.60333,2.9625,2.64083,4.61208,5.97375
