co_X_train_ax1,co_X_train_ax2
0.1993418,0.2115928
0.20570144,0.20698492
0.19617182,0.21374412
0.1918335,0.20945382
0.20215344,0.2161004
0.12103034,0.22228557
0.20712551,0.2188407
0.20267145,0.20853053
0.20519157,0.20829694
0.20148946,0.21139143
0.19409503,0.21646929
0.17761025,0.17969772
0.19703855,0.2170423
0.16692732,0.23256601
0.17413385,0.21675916
0.18446323,0.2144241
0.16876014,0.21450262
0.19259079,0.22205944
0.20480931,0.21418802
0.19475158,0.20967923
0.202645,0.21388462
0.20098715,0.21366212
0.18549827,0.19076051
0.2001885,0.21640298
0.20491268,0.20989466
0.21192653,0.20106179
0.20675416,0.21621731
0.1978625,0.21699063
0.20384942,0.2143292
0.19649136,0.21314132
0.20284642,0.21384838
0.20078078,0.21215475
0.20501815,0.21039386
0.19467409,0.21908075
0.1979726,0.20998542
0.20038861,0.21715455
0.18387857,0.22357689
0.19780572,0.22320773
0.18948007,0.21334384
0.16930644,0.21225135
0.193237,0.21378398
0.19590354,0.21890974
0.1910051,0.21245417
0.20109683,0.21069005
0.19283053,0.21296838
0.18420978,0.22176549
0.19557342,0.22134155
0.20211,0.21923853
0.19453457,0.21241385
0.20526066,0.21246031
0.19682753,0.2160029
0.19905393,0.21473743
