city,state,country,dim_1,dim_2
UnionCenter,WI,US,0.22537711,0.11950055
PatchGrove,WI,US,0.2185235,0.12610702
Enville,TN,US,0.21245262,0.21001436
Pittsboro,MS,US,0.20945603,0.19091198
Leota,MN,US,0.20968767,0.1442281
FortBidwell,CA,US,0.18495634,0.13188128
Harpster,OH,US,0.27014884,0.106319495
Callensburg,PA,US,0.2676915,0.09570122
Beason,IL,US,0.23087208,0.13466345
Queets,WA,US,0.16860956,0.15242979
Winterhaven,CA,US,0.20214011,0.09695519
Reader,AR,US,0.18843494,0.23242924
WoodyCreek,CO,US,0.16863105,0.19161597
Newry,SC,US,0.23589073,0.14352493
Pickrell,NE,US,0.19020866,0.18539365
Tomales,CA,US,0.1802275,0.06508228
Moscow,OH,US,0.2754745,0.16825663
Sheyenne,ND,US,0.2048879,0.14386389
DunnCenter,ND,US,0.19172104,0.15991268
Garey,CA,US,0.19157337,0.09529959
Breedsville,MI,US,0.23651446,0.10090716
IronHorse,CA,US,0.19013049,0.13225026
IronPost,OK,US,0.17916341,0.24207565
Wimbledon,ND,US,0.20449688,0.14434573
Forada,MN,US,0.210655,0.1443526
Laredo,MO,US,0.21814266,0.17326055
Eunola,AL,US,0.20503712,0.09512618
Sunset,AR,US,0.22497067,0.17631383
Drakesville,IA,US,0.21389963,0.16081177
Exeland,WI,US,0.2109913,0.132284
LittleYork,IN,US,0.2622838,0.16901436
Steptoe,WA,US,0.18297477,0.14920741
LongCreek,OR,US,0.18450645,0.15033239
Starr,SC,US,0.2239978,0.10883363
AmadorCity,CA,US,0.18207233,0.044137076
Bremen,KY,US,0.26004955,0.1563979
WestLeipsic,OH,US,0.25253424,0.103685446
Morganville,KS,US,0.193289,0.20127185
Buford,OH,US,0.27268922,0.13992532
Radnor,OH,US,0.27694118,0.10622971
FortApache,AZ,US,0.17561314,0.13444525
BigBay,MI,US,0.21972346,0.1499347
Wawona,CA,US,0.17878458,0.15312114
Hughesville,MO,US,0.1968028,0.2096426
Bolckow,MO,US,0.20719919,0.18271634
Beattie,KS,US,0.19197722,0.19728483
Atmautluak,AK,US,0.18876892,0.17722358
Mooreton,ND,US,0.21871029,0.14047241
Greenway,AR,US,0.22533494,0.17613865
Herron,MT,US,0.1777057,0.1770973
Register,GA,US,0.19862546,0.08119632
Brave,PA,US,0.2635076,0.10761586
Tiawah,OK,US,0.19491467,0.21047667
Kalihiwai,HI,US,0.15682648,0.21224555
EastWaterford,PA,US,0.25647464,0.08104316
Tedrow,OH,US,0.2457944,0.09811819
StudyButte,TX,US,0.15310924,0.20333809
Prairieburg,IA,US,0.21283044,0.13626245
Grenola,KS,US,0.20559911,0.21476392
Elberon,IA,US,0.20998953,0.14069922
