city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
Glendo,-0.00635021,-0.021837523,0.028997652,-0.012594677,-0.020952886,0.0148647735,-0.00639142,0.005842132,-0.00036916882,-0.007995531
Bulpitt,0.017856857,-0.005985703,0.008606839,0.0151340235,0.025330734,-0.00053948903,-0.013916067,0.021912498,-0.009990382,0.017400557
Hanston,-0.010162034,-0.010673071,0.016632762,-0.007469885,-0.0023841662,0.0054686116,-0.008921888,0.0090443,-0.0008925717,0.014442778
Rollins,0.017108478,-0.0105402125,0.026220566,-0.04103897,-0.03295827,-0.001280549,-0.014904919,0.036703322,0.001734914,-0.014795024
Chugwater,-0.012452155,-0.018483559,0.0338179,-0.013543141,-0.027383776,0.01119702,-0.0003582798,0.0019795364,-0.00382534,-0.0066223475
Haviland,0.0074530854,-0.0069498145,0.021622315,0.04343946,0.02645108,-0.010325284,0.017424142,-0.0087970365,-0.018110685,-0.004330083
Hull,-0.022674691,-0.0044998187,-0.024201874,-0.0002011992,-0.01570189,0.010093789,-0.0024658593,0.008655691,0.010490732,-0.004432623
Alvord,0.025073443,-0.042255778,0.0172878,0.008100857,0.022920761,0.017837133,-0.007699664,0.015558093,0.01797036,0.015187562
Stoutland,0.0032363017,-0.01235795,0.0077555105,-0.013318704,0.008577177,0.010777617,0.0018232194,0.018562995,0.0091543915,0.00795846
Grantville,0.0046635605,-0.006479988,0.0072608795,-0.01175253,0.018958542,0.0051416517,-0.004476481,0.02368725,0.007653228,0.014964999
Samburg,-0.0013519553,0.0025018002,-0.004526405,0.013138706,0.010526219,0.0015756586,-0.001376776,0.021790326,0.00041743732,0.027843393
Keensburg,0.00408122,0.007682135,0.00808586,0.028423747,0.026938329,0.0022808907,0.00055674545,0.020346526,-0.007621125,0.008548184
DesLacs,-0.012328171,-0.029185863,0.028028902,-0.011939459,-0.013283732,-0.012012215,-0.020843912,0.014352993,-0.0024952202,-0.008726214
SouthSalem,-0.002198279,0.00043997346,-0.0009744908,0.03272389,0.014572738,0.003529187,0.014851433,0.00967041,0.002250034,-0.007601948
Nathalie,-0.008705246,-0.008820353,-0.008851109,-0.0044815643,0.0024178054,0.0256379,0.02665632,-0.0070863976,0.02115003,-0.027403958
Tenstrike,-0.0033046461,-0.024692234,0.0011155413,-0.005928944,0.010586759,0.008624116,-0.01915984,0.013440402,0.009182134,-0.008435014
Tokeland,-0.009162664,-0.0054894323,0.029132305,-0.030695261,-0.04787085,-0.006801634,-0.010912275,0.014442087,-0.007685155,-0.022759113
Sellers,-0.018008959,0.0031794393,-0.019628916,0.011563836,-0.014449977,-0.00035252795,0.002965783,0.01110053,0.005282408,-0.0076995306
Mosby,0.0046363105,-0.0059664515,0.005664258,0.0015090281,0.034802098,0.0037934743,0.0051917476,0.022842243,0.0062405393,0.015735764
Oakdale,0.008398296,-0.0026490327,0.008678545,-0.00010575168,0.023755386,0.009213986,0.0018679391,0.021596627,-0.0039533875,0.015931807
Torreon,-0.027963838,-0.0003217552,0.0004687532,-0.025749305,0.003586094,0.0008621585,-0.014704313,0.009355057,-0.005456084,-0.00441707
