city,state,country,dim_1,dim_2,dim_3
Exeland,WI,US,-0.053381093,0.20893645,-0.323451
LittleYork,IN,US,-0.07373044,0.2801563,-0.2882423
Steptoe,WA,US,-0.060855336,0.15542799,-0.29048905
LongCreek,OR,US,-0.06777909,0.17049332,-0.2698917
Starr,SC,US,-0.025801485,0.2301151,-0.18288152
AmadorCity,CA,US,0.063054286,0.12580724,-0.26150212
Bremen,KY,US,-0.069086134,0.253105,-0.26227745
WestLeipsic,OH,US,-0.0007758585,0.2648004,-0.28872144
Morganville,KS,US,-0.116494976,0.18777741,-0.30783474
Buford,OH,US,-0.036414415,0.283417,-0.28071088
Radnor,OH,US,0.0054582865,0.29006907,-0.29457644
FortApache,AZ,US,-0.04953765,0.17216855,-0.258243
BigBay,MI,US,-0.07402348,0.24444914,-0.27066672
Wawona,CA,US,-0.07524095,0.18876031,-0.25517255
Hughesville,MO,US,-0.13463847,0.2296052,-0.31632137
Bolckow,MO,US,-0.084281504,0.20021033,-0.33050632
Beattie,KS,US,-0.10418967,0.19618124,-0.31684038
Atmautluak,AK,US,-0.101639204,0.21339422,-0.27122137
Mooreton,ND,US,-0.03871336,0.17762496,-0.29693076
Greenway,AR,US,-0.09278477,0.21249263,-0.25147244
Herron,MT,US,-0.10189242,0.17502004,-0.27743363
Register,GA,US,0.00552104,0.1805538,-0.17084351
Brave,PA,US,-0.028619561,0.31567425,-0.26439193
Tiawah,OK,US,-0.14338431,0.19325681,-0.28602389
Kalihiwai,HI,US,-0.1450503,0.19887422,-0.28247127
EastWaterford,PA,US,0.020620557,0.3343443,-0.24706833
Tedrow,OH,US,0.0035385536,0.25650525,-0.28773177
StudyButte,TX,US,-0.13659757,0.17341027,-0.24372391
Prairieburg,IA,US,-0.03862898,0.19539429,-0.31133416
Grenola,KS,US,-0.14365782,0.18785438,-0.30292234
Elberon,IA,US,-0.051464483,0.19452181,-0.3134483
Hustler,WI,US,-0.018158028,0.19651912,-0.31748843
Onaway,ID,US,-0.090197764,0.17233387,-0.28509557
Golden,MS,US,-0.09396629,0.23319182,-0.17560618
LakeTomahawk,WI,US,-0.05031758,0.21494345,-0.30034444
Northome,MN,US,-0.052661374,0.19988549,-0.2972865
Heckscherville,PA,US,0.036902536,0.30040216,-0.22736804
WestElkton,OH,US,-0.033357564,0.27717453,-0.29831854
Lopeño,TX,US,-0.19358353,0.22328639,-0.21214348
Lequire,OK,US,-0.19880551,0.21420875,-0.26292863
Gurley,NE,US,-0.14322177,0.1813082,-0.2896344
WaterValley,KY,US,-0.09307474,0.22456384,-0.25160637
Saco,MT,US,-0.082447894,0.16140558,-0.28415555
Coral,PA,US,0.009902922,0.33572832,-0.2740792
Beaverton,AL,US,-0.09207736,0.22764441,-0.16639546
Stronach,MI,US,-0.014579765,0.21008243,-0.29989287
Cool,TX,US,-0.20027317,0.20198663,-0.24978027
Locustdale,PA,US,0.033870645,0.30496785,-0.23177876
Latah,WA,US,-0.07271926,0.16160947,-0.2916258
Wren,OH,US,-0.008362383,0.25658396,-0.29162717
HowardCity,NE,US,-0.114614405,0.18834825,-0.30559248
Alligator,MS,US,-0.10681443,0.18702586,-0.1997227
Benson,PA,US,0.018418573,0.30465338,-0.26426026
Boxholm,IA,US,-0.048749138,0.18052319,-0.3203997
Clawson,UT,US,-0.06865254,0.16480851,-0.25647068
Onycha,AL,US,-0.025170809,0.20123605,-0.1514927
Emmett,KS,US,-0.11420237,0.1958705,-0.31947967
Hosmer,SD,US,-0.08066589,0.17923018,-0.29254675
Eldred,IL,US,-0.08111706,0.22286576,-0.3035045
TseBonito,NM,US,-0.04689438,0.15283415,-0.26798785
Rantoul,KS,US,-0.115727216,0.20857903,-0.31348455
Broadway,NJ,US,0.06337534,0.2953796,-0.21165456
DeepRiver,WA,US,-0.099523656,0.16041605,-0.271108
Wing,ND,US,-0.07085556,0.17691296,-0.28026313
Franktown,CO,US,-0.07515353,0.17363566,-0.26419923
ElkMountain,WY,US,-0.1248132,0.20296387,-0.26151696
Rayle,GA,US,-0.05045338,0.22489692,-0.16950972
Rossburg,OH,US,-0.013997167,0.26273355,-0.29354805
St.Lawrence,SD,US,-0.07806585,0.17619199,-0.2985844
RoyalLakes,IL,US,-0.046511773,0.22770958,-0.29900855
ArcticVillage,AK,US,-0.10914564,0.17811161,-0.2652116
Blockton,IA,US,-0.08213418,0.20571093,-0.32532716
ValleyHome,CA,US,0.2176032,0.043174017,-0.22333966
Newberry,IN,US,-0.06238619,0.26122832,-0.29788667
TwinForks,NM,US,-0.11651236,0.18623151,-0.26034546
Winnett,MT,US,-0.09931913,0.1794109,-0.26669878
MountCroghan,SC,US,-0.004195717,0.23506734,-0.18467672
DewyRose,GA,US,-0.045439057,0.23700258,-0.17805506
Palestine,OH,US,-0.019938573,0.2602982,-0.29265362
PortLions,AK,US,-0.12176783,0.21575269,-0.2726514
DecaturCity,IA,US,-0.078301705,0.20741878,-0.32466534
MindenCity,MI,US,0.01830326,0.23856162,-0.28133288
CrystalBay,NV,US,-0.05340334,0.17132029,-0.26199454
Buffalo,ND,US,-0.051851448,0.16670842,-0.2917176
SanCristobal,NM,US,-0.10976891,0.18429492,-0.27100185
DavisCity,IA,US,-0.07882601,0.20844662,-0.3258396
Custar,OH,US,0.00029151328,0.26487333,-0.28858033
Hyannis,NE,US,-0.13502833,0.19086392,-0.28401715
Alger,WA,US,-0.06790889,0.13968682,-0.29716742
MaryhillEstates,KY,US,-0.050613616,0.26783237,-0.29786775
Trinway,OH,US,-0.022261985,0.3183845,-0.29407752
Broadview,MT,US,-0.11727255,0.18699275,-0.25913092
Crouch,ID,US,-0.11318213,0.1707871,-0.27405688
Funk,NE,US,-0.12230041,0.19113897,-0.30101988
Gainesville,AL,US,-0.095891334,0.22376981,-0.16213723
Ratcliff,AR,US,-0.18152545,0.2077895,-0.25819275
SanSimon,AZ,US,-0.014894076,0.14769262,-0.25534657
Offerle,KS,US,-0.13931939,0.18462208,-0.2901504
Amberg,WI,US,-0.040841993,0.22783771,-0.29512215
Howard,OH,US,-0.010157376,0.2966649,-0.29491016
Latty,OH,US,-0.00046586237,0.25761312,-0.29064414
Ensign,KS,US,-0.13862692,0.18137406,-0.2871988
Wynot,NE,US,-0.07737093,0.18603387,-0.31169
Grayridge,MO,US,-0.07997935,0.22865373,-0.25510272
SugarBushKnolls,OH,US,0.031023659,0.2976095,-0.2999411
Medon,TN,US,-0.12695922,0.21925671,-0.2063671
Nageezi,NM,US,-0.0474994,0.16318446,-0.2637018
