city,dim_1,dim_2,dim_3
Gurley,-0.0112078255,0.04092288,0.021362603
WaterValley,-0.0009229626,0.018056842,0.030463144
Saco,-0.024557741,0.030262994,0.020212874
Coral,0.018597176,0.010195147,-0.018818334
Beaverton,-0.013657719,0.020465977,0.018842936
Stronach,0.0020311894,0.02553858,-0.0062376317
Cool,-0.024417194,0.03641192,0.01702601
Locustdale,0.0059647914,0.010327306,-0.052017014
Latah,-0.033252038,0.020446362,0.02105903
Wren,0.031043021,0.03068694,0.0067346673
HowardCity,0.012194003,0.031238621,0.0359943
Alligator,0.0027984595,0.034149665,0.02779017
Benson,0.016573332,0.020438796,-0.0029894318
Boxholm,0.04407395,0.0052873367,0.04489751
Clawson,-0.025239917,-0.0025045073,0.011204402
Onycha,-0.019456388,0.038998142,0.016093003
Emmett,-0.0027875397,0.020905158,0.027063636
Hosmer,-0.011009422,0.028379966,0.034028873
Eldred,0.023358488,0.015279288,0.036262043
TseBonito,-0.036579594,0.019166073,0.01573742
Rantoul,-0.004746831,0.013799029,0.027293688
Broadway,-0.0075815315,-0.0026814202,-0.07548437
DeepRiver,-0.048887387,0.021199236,0.014191408
Wing,-0.012714785,0.026737416,0.028731033
Franktown,-0.010406469,0.026752992,0.004772658
ElkMountain,-0.033684786,0.04061747,0.0057119997
Rayle,-0.016739262,0.01816779,0.014757436
Rossburg,0.026812563,0.031124212,0.0077838884
St.Lawrence,-0.0050695008,0.0312893,0.034296226
RoyalLakes,0.009121983,0.014554775,0.026000127
ArcticVillage,-0.027292201,0.040911034,0.012494538
Blockton,0.01354534,0.012063043,0.02900658
ValleyHome,-0.036978837,-0.08907014,0.0033434746
Newberry,0.009138052,0.019786917,0.026309816
TwinForks,-0.039244786,0.051261336,0.010731191
Winnett,-0.02068618,0.042043954,0.008667825
MountCroghan,-0.008590202,0.010106956,0.0075904154
DewyRose,-0.008241032,0.019307366,0.012057804
Palestine,0.02241998,0.029398382,0.009800686
PortLions,-0.033504996,0.052258324,0.008593351
DecaturCity,0.018136619,0.0070939283,0.032384317
MindenCity,0.0064840703,0.033056945,-0.028130446
CrystalBay,-0.04539712,0.029920442,0.005393121
Buffalo,-0.0021492487,0.021020198,0.037297633
SanCristobal,-0.016486246,0.002602437,0.009423476
DavisCity,0.015603357,0.0076182717,0.029449847
Custar,0.03513755,0.028952496,0.0023245767
Hyannis,-0.015025901,0.04129224,0.01657613
Alger,-0.061111838,0.034871288,0.016903676
MaryhillEstates,0.021233438,0.014031217,0.035363052
Trinway,0.020476071,0.013340941,0.003228567
Broadview,-0.019321838,0.03824013,0.012441983
Crouch,-0.037110124,-0.0132234795,0.007488833
Funk,0.005413202,0.031958137,0.032532744
Gainesville,-0.013290491,0.019224329,0.020940669
Ratcliff,-0.0060310243,0.0046553123,0.019833252
SanSimon,-0.031751182,0.019699832,0.011783125
Offerle,-0.015929563,0.03401909,0.016749945
Amberg,0.0058049806,0.024898872,-0.002989078
Howard,0.021679431,0.021400295,0.0029350917
Latty,0.03660959,0.029141404,0.0029185629
Ensign,-0.014898072,0.032544766,0.017467944
Wynot,0.025143312,0.031386074,0.038022984
Grayridge,0.0025489067,0.027272714,0.030272963
SugarBushKnolls,0.04180443,0.03262458,-0.0008186192
Medon,-0.0024870187,0.0155750485,0.025508897
Nageezi,-0.033054795,0.012876625,0.015442262
Buckhead,-0.019242318,0.017883517,0.015783856
Metaline,-0.032784514,-0.0010326798,0.01705098
MiddleVillage,0.009845963,0.01927224,-0.0021569207
Beaman,0.043953814,0.004880024,0.03747299
Choptank,0.015481599,0.0075721103,-0.026109438
Carney,0.005422896,0.027636893,-0.0072033773
Calpine,-0.04164608,0.0034806288,0.00558936
Slick,-0.014206534,0.017949052,0.017042775
Cowgill,0.003626592,0.0048592594,0.024981402
Hebron,0.043954242,0.012082733,0.024528971
Banner,0.029683195,0.01363105,0.03159006
Mina,-0.032460686,0.035796326,0.014176942
Hebo,-0.048492007,0.022331718,0.013787251
Frost,0.031269614,0.012431718,0.03497647
Layton,-0.039895147,0.05414564,0.0037111652
Proberta,-0.030977165,-0.013238084,0.0061202585
FountainN'Lakes,0.024779076,0.0030652334,0.044932753
Weldona,-0.016988235,0.015691584,0.020988595
GreenBank,-0.0038248987,0.020283187,0.006660955
ConceptionJunction,0.0069850264,0.012750187,0.02787666
NewGrandChain,0.0016147869,0.018424198,0.02598497
Warba,0.0064170375,0.014627389,0.021621242
CopperCity,-0.011345532,0.031369917,0.00423944
BaldHeadIsland,-0.015258441,0.034690656,0.012336495
LosCerrillos,-0.020634934,0.012939452,0.017172283
ComancheCreek,-0.024249822,0.035251223,0.005873739
Modoc,0.016397025,0.02653395,0.015321547
WestSunbury,0.014431112,0.009850563,-0.0197089
Barnum,0.03897118,0.011247345,0.04271977
BelleriveAcres,0.035510622,-0.0111817,0.06269774
Mokane,0.0010236963,0.006085991,0.030773954
Camargo,-0.014175993,0.034884583,0.014720333
Michiana,0.019929003,0.019810356,0.0016540274
Doland,-0.0006735305,0.027268404,0.03646827
Kline,-0.014287657,0.029209092,0.017959096
FortBridger,-0.032227457,0.020901257,0.034268364
Thor,0.0394371,0.0077523,0.03928228
Bendon,0.0008219143,0.023607938,-0.005444264
Sayner,0.003888537,0.020971842,0.0049928976
Riverview,-0.017926866,0.035848957,0.015803194
Gravity,0.012743478,0.010565214,0.032655682
Mulkeytown,0.0020674418,0.014086923,0.028151548
Gilboa,0.035016604,0.029748822,0.0036432038
Blacksville,0.02568022,0.011430234,0.00010722317
Kennedy,-0.010480197,0.01327645,0.030493384
LochArbour,0.029962406,0.015162877,-0.08575265
Brookhurst,-0.021702092,0.031267803,0.0076034567
IronBelt,-0.0027056602,0.018562805,0.007650594
Amoret,-0.00904539,0.013246721,0.023640076
NespelemCommunity,-0.02962132,-0.015214042,0.026087759
MapleGrove,-0.0027636364,0.027679743,-0.0071604564
ElCombate,-0.051785965,0.082714155,0.006839555
SouthCarrollton,0.0045690085,0.012368494,0.029980024
TyghValley,-0.051133517,0.0073958333,0.018868912
Dale,-0.016962403,0.017297568,0.018374773
Gerrard,-0.03313677,0.029987073,0.008967166
Stockett,-0.015410768,0.03755899,0.0018005647
