city,state,country,dim_1,dim_2,dim_3,dim_4
FortBidwell,CA,US,-0.03453273,0.0049314485,0.008069697,0.01252093
Harpster,OH,US,0.02490818,0.011020469,0.0037910754,-0.048002217
Callensburg,PA,US,0.012786439,0.045848433,0.02456041,-0.05058199
Beason,IL,US,0.01399246,-0.023797905,-0.0035264287,-0.036725897
Queets,WA,US,-0.04569809,-0.002383801,0.012194208,-0.00010165945
Winterhaven,CA,US,-0.015914047,-0.00572119,-0.034356307,0.013198066
Reader,AR,US,0.0008161033,-0.03606863,0.06222037,0.023604566
WoodyCreek,CO,US,-0.039220065,-0.009523605,0.033300962,0.002146423
Newry,SC,US,0.059444223,-0.010641403,0.025337286,0.027284699
Pickrell,NE,US,-0.018220363,-0.028893895,0.0103555415,-0.024331974
Tomales,CA,US,-0.01882206,0.00082269375,-0.04416877,0.012944772
Moscow,OH,US,0.044320643,-0.015314244,0.028535806,-0.040750533
Sheyenne,ND,US,-0.02538572,-0.018366065,-0.006180933,-0.0044484255
DunnCenter,ND,US,-0.029840363,-0.016382225,0.008264884,-0.0023502884
Garey,CA,US,-0.0203132,0.00035376847,-0.027862594,0.0071085044
Breedsville,MI,US,-7.455854e-05,0.0025654526,-0.011276005,-0.029749066
IronHorse,CA,US,-0.02886838,0.0017205644,-0.0032129847,0.006248709
IronPost,OK,US,-0.006115139,-0.04510997,0.049526755,-0.0060347477
Wimbledon,ND,US,-0.027033549,-0.017223729,-0.00543461,-0.004635181
Forada,MN,US,-0.018096011,-0.018554375,-0.011766707,-0.020194335
Laredo,MO,US,-0.004373252,-0.027498392,0.010026539,-0.045826845
Eunola,AL,US,0.03312519,0.012986732,0.0022230353,0.055938642
Sunset,AR,US,0.029495256,-0.04203258,0.011351525,0.020868637
Drakesville,IA,US,-0.0036284903,-0.03360207,0.0027703405,-0.041188084
Exeland,WI,US,-0.02936804,-0.0048768558,0.0022645327,-0.03398721
LittleYork,IN,US,0.039001722,-0.019479988,0.02741852,-0.03860648
Steptoe,WA,US,-0.037809614,-0.0130094215,-0.007726552,-0.0029540905
LongCreek,OR,US,-0.03429006,-0.007996779,0.0012405061,-0.0003066808
Starr,SC,US,0.06496001,-0.012947992,0.0017597413,0.028556649
AmadorCity,CA,US,-0.017699325,0.005732209,-0.06158035,0.009266636
Bremen,KY,US,0.04403473,-0.028225599,0.018195046,-0.019318491
WestLeipsic,OH,US,0.020235118,0.009722872,-0.00055393006,-0.040585335
Morganville,KS,US,-0.014360015,-0.04053684,0.01611002,-0.019725356
Buford,OH,US,0.040244706,-0.006812659,0.014304897,-0.03838074
Radnor,OH,US,0.029650196,0.012818498,0.004379907,-0.048323087
FortApache,AZ,US,-0.034106135,0.002652963,0.0008291749,0.0076352768
BigBay,MI,US,-0.021242974,0.01374959,0.030653642,-0.01850798
Wawona,CA,US,-0.033780467,0.0013291946,0.016674852,0.0054644994
Hughesville,MO,US,-0.0063582463,-0.036120538,0.035541262,-0.034136355
Bolckow,MO,US,-0.0132638365,-0.034129787,0.0045395847,-0.037558563
Beattie,KS,US,-0.016885584,-0.034252744,0.0158043,-0.028211368
Atmautluak,AK,US,-0.03306701,0.0011025728,0.030808004,-0.0072803176
Mooreton,ND,US,-0.018285248,-0.015580576,-0.01195129,-0.015732866
Greenway,AR,US,0.028904038,-0.037189487,0.016238611,6.0338527e-05
Herron,MT,US,-0.03246778,-0.01991316,0.017452896,-0.0047537433
Register,GA,US,0.039848328,-0.0014107552,-0.020247897,0.04608566
Brave,PA,US,0.03527555,0.01977394,0.030640732,-0.03893557
Tiawah,OK,US,0.0020117967,-0.052378003,0.025822654,-0.008519986
Kalihiwai,HI,US,-0.051618792,-0.008692005,0.044208314,-0.0052122893
EastWaterford,PA,US,0.008587505,0.06816261,0.031165365,-0.037480388
Tedrow,OH,US,0.013589286,0.012786826,-0.00298493,-0.039290406
StudyButte,TX,US,-0.043545254,-0.0048766565,0.031030668,0.02227012
Prairieburg,IA,US,-0.0024328006,-0.02544002,-0.013272061,-0.028020388
Grenola,KS,US,-0.0110109905,-0.05204778,0.027012827,-0.015103796
Elberon,IA,US,-0.0068880175,-0.026982808,-0.009847138,-0.027990602
Hustler,WI,US,-0.01409862,-0.009677357,-0.015409952,-0.034915067
Onaway,ID,US,-0.039588343,-0.012215665,0.009389597,-0.0024050798
Golden,MS,US,0.040887546,-0.013596227,0.0363209,0.036272086
LakeTomahawk,WI,US,-0.02474041,0.003694549,0.0070164944,-0.025690809
Northome,MN,US,-0.022079723,-0.00766931,0.002174139,-0.020797592
