o3_X_train_ax1,o3_X_train_ax2,o3_var,o3_r2
-0.03337317,-0.00977353,0.9110476524356035,0.9110476524356035
-0.013846087,-0.017646782,0.9094066812136989,0.9094066812136989
-0.015120085,-0.01607479,0.9103684927088981,0.9103684927088981
-0.015166593,-0.008506187,0.9088638537079734,0.9088638537079734
-0.015713042,-0.018898394,0.9107690712198795,0.9107690712198795
-0.012069267,-0.01730494,0.9129945380820714,0.9129945380820714
-0.017700592,-0.0008630722,0.9150234280271364,0.9150234280271364
-0.020949168,-0.02022153,0.9134414660523239,0.9134414660523239
-0.02215859,-0.011976838,0.9138843742558329,0.9138843742558329
-0.04066443,-0.018609941,0.9134039102066702,0.9134039102066702
-0.033446506,-0.0021564797,0.9145452772806739,0.9145452772806739
-0.017676516,-0.022009691,0.9155455595974714,0.9155455595974714
-0.0145038115,-0.0004012399,0.9160901435088181,0.9160901435088181
