co_X_train_ax1,co_X_train_ax2,co_var,co_r2
-0.031560518,-0.012894937,0.7101336611115613,0.7101336611115613
-0.031683188,-0.013375636,0.7070828036508359,0.7070828036508359
-0.035105165,-0.008620387,0.7174003501118027,0.7174003501118027
-0.042371295,-0.016925866,0.7075433233946076,0.7075433233946076
-0.033903178,-0.014991694,0.7099053387855321,0.7099053387855321
-0.04035411,-0.027004933,0.7160042736286021,0.7160042736286021
-0.03645225,-0.01304747,0.7151150742499107,0.7151150742499107
-0.033017803,-0.010274826,0.7092041221310165,0.7092041221310165
-0.027387934,-0.009837661,0.7124393112297427,0.7124393112297427
-0.020742722,-0.014854541,0.7154020097350502,0.7154020097350502
-0.034917798,-0.014712189,0.717201858515987,0.717201858515987
-0.034963652,-0.008288558,0.7169790152384443,0.7169790152384443
